Gene,Gene_wo_suffix,PA14_locus,pae,paev,paei,pau,pap,pag,paf,pnc,paeb,pdk,psg,prp,paep,paer,paem,pael,paes,paeu,paeg,paec,paeo
holC,holC,PA14_14460,,,,,,,,,,,,,,,,,,"paeu03030,paeu03430,paeu03440",,,
pepA,pepA,PA14_14470,"pae00480,pae01100","paev00480,paev01100","paei00480,paei01100","pau00480,pau01100",,"pag00480,pag01100","paf00480,paf01100","pnc00480,pnc01100","paeb00480,paeb01100",,,,,,,,,"paeu00480,paeu01100",,"paec00480,paec01100","paeo00480,paeo01100"
PA14_01340,PA14,PA14_01340,,,,,,,,,,,,,,,,,,,,,
PA14_14480,PA14,PA14_14480,,,,,,,,,,,,,,,,,,,,,
PA14_14490,PA14,PA14_14490,,,,,,,,,,,,,,,,,,,,,
PA14_14500,PA14,PA14_14500,,,,pau02010,,,,,,,,,,,,,,,,,
PA14_14510,PA14,PA14_14510,,,,pau02010,,,,,,,,,,,,,,,,,
PA14_14520,PA14,PA14_14520,,,,,,,,,,,,,,,,,,,,,
PA14_14530,PA14,PA14_14530,,,,,,,,,,,,,,,,,,,,,
queA,queA,PA14_14590,,,,,,,,,,,,,,,,,,,,,
tgt,tgt,PA14_14600,,,,,,,,,,,,,,,,,,,,,
yajC,yajC,PA14_14610,,,,,,,,,,,,,,,,,,,,,
PA14_00120,PA14,PA14_00120,,,,"pau00540,pau01100",,,,,,,,,,,,,,,,,
PA14_01350,PA14,PA14_01350,,,,,,,,,,,,,,,,,,,,,
secD,secD,PA14_14630,"pae03060,pae03070","paev03060,paev03070","paei03060,paei03070","pau03060,pau03070","pap03060,pap03070","pag03060,pag03070","paf03060,paf03070","pnc03060,pnc03070","paeb03060,paeb03070","pdk03060,pdk03070","psg03060,psg03070","prp03060,prp03070","paep03060,paep03070",,"paem03060,paem03070","pael03060,pael03070",,,"paeg03060,paeg03070","paec03060,paec03070","paeo03060,paeo03070"
secF,secF,PA14_14650,"pae03060,pae03070","paev03060,paev03070","paei03060,paei03070","pau03060,pau03070","pap03060,pap03070","pag03060,pag03070","paf03060,paf03070","pnc03060,pnc03070","paeb03060,paeb03070","pdk03060,pdk03070","psg03060,psg03070","prp03060,prp03070",,,"paem03060,paem03070","pael03060,pael03070",,"paeu03060,paeu03070","paeg03060,paeg03070","paec03060,paec03070","paeo03060,paeo03070"
PA14_14660,PA14,PA14_14660,,,,,,,,,,,,,,,,,,,,,
PA14_14680,PA14,PA14_14680,,,,,,,,,,,,,,,,,,,,,
PA14_14690,PA14,PA14_14690,,,,,,,,,,,,,,,,,,,,,
cysE,cysE,PA14_14700,"pae00270,pae00920,pae01100,pae01110,pae01120,pae01200,pae01230","paev00270,paev00920,paev01100,paev01110,paev01120,paev01200,paev01230","paei00270,paei00920,paei01100,paei01110,paei01120,paei01200,paei01230","pau00270,pau00920,pau01100,pau01110,pau01120,pau01200,pau01230",,"pag00270,pag00920,pag01100,pag01110,pag01120,pag01200,pag01230","paf00270,paf00920,paf01100,paf01110,paf01120,paf01200,paf01230","pnc00270,pnc00920,pnc01100,pnc01110,pnc01120,pnc01200,pnc01230","paeb00270,paeb00920,paeb01100,paeb01110,paeb01120,paeb01200,paeb01230",,,,,,,,,,,,
PA14_14710,PA14,PA14_14710,,,,,,,,,,,,,,,,,,,,,
iscS,iscS,PA14_14730,,,,,,,,,,,,,,,,,,,,,
PA14_14740,PA14,PA14_14740,,,,,,,,,,,,,,,,,,,,,
PA14_14750,PA14,PA14_14750,,,,,,,,,,,,,,,,,,,,,
PA14_01360,PA14,PA14_01360,,,,"pau00190,pau00860,pau01100,pau01110,pau01240,pau02020",,,,,,,,,,,,,,,,,
hscB,hscB,PA14_14770,,,,,,,,,,,,,,,,,,,,,
hscA,hscA,PA14_14780,,,,,,,,,,,,,,,,,,,,,
fdx2,fdx2,PA14_14800,,,,,,,,,,,,,,,,,,,,,
PA14_14810,PA14,PA14_14810,,,,,,,,,,,,,,,,,,,,,
