,strain,phase,start_time,end_time,delta_time,start_od,delta_od,area,best_model,r2,growth_rate_max,growth_rate_mean,specific_growth_rate_max,specific_growth_rate_mean
60,T52373,1,1.2,8.2,6.999999999999999,0.00441265016938232,0.11594923856838368,0.14345068167724817,EXP,0.9994598808427014,0.12002769015094053,0.016894240499472975,1.0089765688278218,0.4502264707547788
61,T52373,2,8.2,14.2,6.0,0.120361888737766,0.10484501204185202,1.2044301688777965,EXP,0.7269013745535832,0.015177760102463297,0.012638237755821957,0.06308863987371247,0.06308863987371244
62,T52373,3,14.2,48.0,33.8,0.22520690077961802,-0.08865589868396104,6.444926543395302,EXP,0.7715733150735999,0.0026198746287999656,-0.0026222188734060267,0.011150693455515809,-0.014012792164939586
63,T6313,1,1.2,7.6,6.3999999999999995,0.007742145304678779,0.12082616140855522,0.16876538458170082,LGX,0.9985831302634091,0.11070097268863366,0.019033011611873964,0.8895126023441784,0.43053410562153926
64,T6313,2,7.6,10.1,2.5,0.128568306713234,0.12113053926165801,0.5552719492155944,GOM,0.9843146294285271,0.12164379037073306,0.04717186522023396,0.6939499038185689,0.24798294925379938
65,T6313,3,10.1,48.0,37.9,0.249698845974892,-0.08709723505923503,7.0177130528348535,LGX,0.9825404935127459,4.5515231240788427e-05,-0.002631552850662442,0.0002776722488022826,-0.012533580934143841
66,T63266,1,5.3,7.2,1.9000000000000004,0.0162709571502095,0.09336404524369749,0.07836036642745003,EXP,0.9978294935316916,0.16253345735181182,0.04938807364843667,1.512389458692355,0.9583438019947744
67,T63266,2,7.2,9.3,2.1000000000000005,0.10963500239390699,0.19920846074960402,0.5896480594007593,GOM,0.9960334202426966,0.5498513110660995,0.08778624208935155,3.2473024128114947,0.44716295887876883
68,T63266,3,9.3,48.0,38.7,0.308843463143511,-0.09032975142462707,8.880344923446387,EXP,0.8426450415754052,1.503778967428409e-06,-0.0029660381768596778,6.9004144338481224e-06,-0.010928230098829825
69,W16407,1,3.5,6.4,2.9000000000000004,0.00671685954077133,0.14683869712539066,0.12691987604226496,EXP,0.9943812888675364,0.19134631666451443,0.054550999054669355,1.2081788503210829,1.2081788503210829
70,W16407,2,6.4,8.5,2.0999999999999996,0.153555556666162,0.187745313673156,0.6507379885531095,GOM,0.989161402877718,0.48338767266345517,0.0801461091168101,2.1428376687257398,0.3238267501988241
71,W16407,3,8.5,48.0,39.5,0.341300870339318,-0.148850646838039,9.66125174551227,LGX,0.9907769174860398,0.001017440821539271,-0.0033364821103053052,0.005105139227110631,-0.0128458722177013
72,W25637,1,3.6,9.0,5.4,0.0017479322459834,0.1365410421936806,0.13773485344248962,EXP,0.9738453627418849,0.09957651916433014,0.020707238789031,0.8801739720760804,0.6026594510762496
73,W25637,2,9.0,11.1,2.0999999999999996,0.138288974439664,0.14134582394510195,0.531736017394222,LGX,0.9590821636449841,0.25344335218455033,0.05930148318235449,1.6376697006462844,0.29562645119257247
74,W25637,3,11.1,48.0,36.9,0.27963479838476596,-0.09168577840604095,8.108710074808563,LGX,0.9883864473419433,0.00038415602818903284,-0.0026132326482665312,0.0019912377875125928,-0.01098070754636309
75,W36662,1,1.2,9.6,8.4,0.006769241625453029,0.058280822067629065,0.14784693374373925,EXP,0.9981435569816416,0.03777186218502595,0.006897678050302193,0.5869759117651059,0.25432304110372145
76,W36662,2,9.6,11.9,2.3000000000000007,0.0650500636930821,0.0560160581562269,0.24582999259743796,EXP,0.9794327815949683,0.10747084904127743,0.02836171101354204,1.810009481006116,0.33967167761611483
77,W36662,3,11.9,48.0,36.1,0.121066121849309,-0.04013243733193719,3.167652680433145,EXP,0.990012602915945,4.63145777758323e-06,-0.001219425911510777,5.6475785791823256e-05,-0.011896917410852309
78,W45909,1,2.3,6.4,4.1000000000000005,0.00150213410008996,0.18260141179184808,0.15151681446197238,EXP,0.9970196937682669,0.2511244152393739,0.04869884536851778,1.2977532175940043,1.1289818056129501
79,W45909,2,6.4,8.5,2.0999999999999996,0.18410354589193803,0.16767296576671395,0.6528517219206783,LGX,0.9739664316275041,0.1712614023537202,0.07532427523291808,0.6584104569659632,0.2802522372840279
80,W45909,3,8.5,48.0,39.5,0.351776511658652,-0.13844742960515197,10.159402248999623,LGX,0.9735786634700689,0.00020402003779520651,-0.0027592201844834213,0.0009084081035513229,-0.010011223703474402
81,W60856,1,2.7,7.1,4.3999999999999995,0.00344641084931486,0.16508781062467917,0.12843618532770057,EXP,0.997208035225969,0.22560854874126968,0.03685246754814866,1.412465001249989,0.7665203640567212
82,W60856,2,7.1,9.2,2.0999999999999996,0.16853422147399402,0.21276096166809597,0.7155039128837151,GOM,0.9601027687931227,8.772244352473915e-15,-3.738315871804727e-12,2.59745051930682e-14,-1.1069106276886719e-11
83,W60856,3,9.2,48.0,38.8,0.38129518314209,-0.19237593900795497,8.324692211020267,GOM,0.9806948845519724,1.4960139289047263e-05,-0.0054960312484739,8.313793732964345e-05,-0.02012978286414191
84,W70332,1,2.3,6.9,4.6000000000000005,0.000894494197120078,0.14728965193764193,0.14197062841937816,EXP,0.993564702918708,0.18566306468711868,0.03638910957971586,1.1434922349824717,1.1434922349824597
85,W70332,2,6.9,9.3,2.4000000000000004,0.148184146134762,0.221736737561602,0.7771075043766937,LGX,0.997118811811391,0.5911526338493702,0.08375486149790799,2.257153787789858,0.3374113852748984
86,W70332,3,9.3,48.0,38.7,0.369920883696364,-0.193569495652435,8.856432879898353,LGX,0.9604829205025723,6.030441266507695e-10,-0.0043076118334668895,2.9551064589405972e-09,-0.015419991863480918
87,W91453,1,3.5,9.0,5.5,0.0010537853358259,0.1524011237015491,0.14496603175039124,EXP,0.9502866098953417,0.09997692793728445,0.021213021776387335,0.8503480399178898,0.6181069285336529
88,W91453,2,9.0,12.0,3.0,0.153454909037375,0.11202261942156203,0.7291134764593343,LGX,0.9788591670644854,0.1151829287068445,0.03233428314827861,0.6832742662545079,0.15472026115948626
89,W91453,3,12.0,48.0,36.0,0.265477528458937,-0.05833093663229802,8.179725296746906,GOM,0.9972876872878594,0.0002577700056178174,-0.0016325808088105366,0.0012312752909143755,-0.006871416705253452
90,X78812,1,5.0,6.9,1.9000000000000004,0.0149387062118097,0.10944558128289728,0.08094570155189293,EXP,0.9989892703069979,0.20417101316196287,0.05913494647081964,1.6645605754087158,1.0954028391849264
91,X78812,2,6.9,8.9,2.0,0.12438428749470698,0.16735886114335602,0.5377498602150085,GOM,0.9889183052074159,0.3914189823978565,0.07982855658690394,2.1904033755581986,0.39397250571005926
92,X78812,3,8.9,48.0,39.1,0.291743148638063,-0.15000604800827,7.027508732719667,LGX,0.917234883040052,7.291741043758969e-06,-0.003596723469802004,4.5978833785868086e-05,-0.01622626409874104
93,X9820,1,1.6,7.2,5.6,0.00118922740572454,0.15262973861985846,0.15981091370369493,EXP,0.9970396341271008,0.1693101141598165,0.028596966144766665,1.0717934975469312,0.6734955748817066
94,X9820,2,7.2,9.2,1.9999999999999991,0.153818966025583,0.20483198579762704,0.6648301179172731,GOM,0.9945338690069315,0.6277114607517973,0.0965047387968819,2.808809948446428,0.3857663197100985
95,X9820,3,9.2,48.0,38.8,0.35865095182321005,-0.16655012144933806,9.17052445923266,LGX,0.987308795376473,0.0003506601155218867,-0.004065760015845275,0.0017696489095476743,-0.01508498899635277
